Word,Dot_product,Location_fan,Model_seed,n_epochs,List
trein,1.1244018077850342,True,23,65,7
warenhuis,0.8636101484298706,True,23,65,7
supermarkt,1.8800121545791626,True,23,65,7
metro,2.01943302154541,True,23,65,7
bus,0.7585475444793701,True,23,65,7
tuin,1.1329349279403687,True,23,65,7
kapel,0.05289953947067261,True,23,65,7
boetiek,0.7165185809135437,True,23,65,7
plantenkas,1.2082183361053467,True,23,65,7
montagehal,1.4566540718078613,True,23,65,7
kiepwagen,1.4881348609924316,True,23,65,7
duinen,1.0896530151367188,True,23,65,7
sacristie,2.2081491947174072,True,23,65,7
plaatsje,1.3494529724121094,True,23,65,7
terras,1.5203349590301514,True,23,65,7
park,1.9846701622009277,True,23,65,7
graafmachine,1.273970127105713,True,23,65,7
tram,0.6656394004821777,True,23,65,7
basiliek,0.9772351980209351,True,23,65,7
winkel,0.7654058337211609,True,40,65,7
stadje,1.0700451135635376,True,40,65,7
serre,1.008641004562378,True,40,65,7
crypte,1.8914177417755127,True,40,65,7
firma,2.077913284301758,True,40,65,7
trein,1.4574471712112427,True,40,65,7
warenhuis,1.3010072708129883,True,40,65,7
supermarkt,1.5316475629806519,True,40,65,7
metro,0.8555582165718079,True,40,65,7
bus,0.8740808367729187,True,40,65,7
tuin,1.7045772075653076,True,40,65,7
kapel,1.2514269351959229,True,40,65,7
boetiek,1.2101857662200928,True,40,65,7
plantenkas,1.3784136772155762,True,40,65,7
montagehal,0.8955875635147095,True,40,65,7
kiepwagen,1.0767021179199219,True,40,65,7
duinen,1.2061234712600708,True,40,65,7
sacristie,1.8462523221969604,True,40,65,7
plaatsje,1.0225703716278076,True,40,65,7
terras,1.8219084739685059,True,40,65,7
park,0.5340577363967896,True,40,65,7
graafmachine,2.42378568649292,True,40,65,7
tram,1.2646021842956543,True,40,65,7
basiliek,1.0850400924682617,True,40,65,7
winkel,0.5191604495048523,True,50,65,7
stadje,0.9698090553283691,True,50,65,7
serre,1.960207462310791,True,50,65,7
crypte,1.0881112813949585,True,50,65,7
firma,2.1551015377044678,True,50,65,7
trein,1.2557945251464844,True,50,65,7
warenhuis,1.8990029096603394,True,50,65,7
supermarkt,0.8291465640068054,True,50,65,7
metro,1.1432063579559326,True,50,65,7
bus,1.1626261472702026,True,50,65,7
tuin,0.6404757499694824,True,50,65,7
kapel,0.5623494982719421,True,50,65,7
boetiek,2.1447508335113525,True,50,65,7
plantenkas,1.6882153749465942,True,50,65,7
montagehal,1.2868328094482422,True,50,65,7
kiepwagen,0.9204769730567932,True,50,65,7
duinen,0.8867244720458984,True,50,65,7
sacristie,1.034885048866272,True,50,65,7
plaatsje,1.3428195714950562,True,50,65,7
terras,1.6533116102218628,True,50,65,7
park,1.3353475332260132,True,50,65,7
graafmachine,1.264941692352295,True,50,65,7
tram,1.272682547569275,True,50,65,7
basiliek,1.3771398067474365,True,50,65,7
camper,0.9848772287368774,True,23,65,9
tent,1.003053069114685,True,23,65,9
metro,2.0544819831848145,True,23,65,9
plaatsje,0.25337523221969604,True,23,65,9
theater,0.8851192593574524,True,23,65,9
cinema,1.4924803972244263,True,23,65,9
warenhuis,1.1409987211227417,True,23,65,9
greppel,1.4128092527389526,True,23,65,9
afgrond,2.134960889816284,True,23,65,9
