Lists,Fan2,Fan4,Fan2greater,Droprate,Training,Mistakes_Epochs_0,Mistakes_Epochs_65
44,2.972007638816793,2.713543644982668,True,0.0,True,0,0.3333333333333333
46,3.0748150929607543,2.6855461051900447,True,0.0,True,0,0.3333333333333333
48,3.043391078442096,2.7020317273013386,True,0.0,True,0,0.0
50,2.990695357054233,2.8231113407559785,True,0.0,True,0,0.0
52,2.9905159892934154,2.719311584760506,True,0.0,True,0,0.0
54,2.8569246229825014,2.693875189291695,True,0.0,True,0,0.0
56,2.697561832497278,2.8632866137770407,False,0.0,True,0,0.3333333333333333
58,2.9344226491746896,2.7081866255449842,True,0.0,True,0,0.0
60,2.951546715924898,2.7863021670329164,True,0.0,True,0,0.0
62,3.121031542350609,2.772622319290796,True,0.0,True,0,0.0
64,2.849333184192339,2.8739906248745912,False,0.0,True,0,0.0
66,2.8621703495380872,2.8507029833691906,True,0.0,True,0,0.0
68,2.7834864852128023,2.828905837341904,False,0.0,True,0,0.0
70,2.8363627639708513,2.7521592264173025,True,0.0,True,0,0.0
72,2.937652025458119,2.7949764190351063,True,0.0,True,0,0.3333333333333333
74,2.9222829401292,2.8106862862703794,True,0.0,True,0,0.0
76,2.99289500189797,2.7431010579696222,True,0.0,True,0,0.3333333333333333
78,2.79045649094359,2.8571457202034782,False,0.0,True,0,0.0
80,2.9540427939144367,2.8301720749385746,True,0.0,True,0,0.3333333333333333
82,2.8946072692471336,2.8228856626696976,True,0.0,True,0,0.0
84,2.991101869423945,2.776685426674544,True,0.0,True,0,0.0
86,2.8785106214183163,2.8183033867227625,True,0.0,True,0,0.0
88,2.921332266090642,2.7500386886925425,True,0.0,True,0,1.0
90,3.081930757542212,2.710754307960231,True,0.0,True,0,0.0
92,2.8338613246676916,2.745036428525805,True,0.0,True,0,0.0
94,3.035263447443405,2.7178317951458286,True,0.0,True,0,0.0
96,2.9996931239761504,2.7276388613099116,True,0.0,True,0,0.3333333333333333
98,2.9851428068973216,2.8111283732997965,True,0.0,True,0,0.3333333333333333
100,3.0504245829877847,2.7549581140078696,True,0.0,True,0,0.0
mean,2.933178334301187,2.7798724728767024,True,0.0,True,0,0.09333333333333332
std,0.11399768356453265,0.057915252887213726,True,0.0,True,0,0.18903262505010435
