Word,Dot_product,Location_fan,Model_seed,n_epochs,List
admiraal,1.20373153686523,False,23,65,8
kapitein,1.44071424007416,False,40,65,8
goochelaar,1.32388520240784,False,40,65,8
clown,1.01579487323761,False,40,65,8
bakker,2.31704115867615,False,40,65,8
slager,1.16009759902954,False,40,65,8
monteur,1.59558761119843,False,40,65,8
dronkaard,1.61623239517212,False,40,65,8
illustrator,1.93857908248901,False,40,65,8
kloosterling,2.27997469902039,False,40,65,8
graficus,1.19124853610992,False,40,65,8
missionaris,0.995514094829559,False,40,65,8
dokter,1.04124248027802,False,40,65,8
landloper,0.594097673892975,False,40,65,8
chirurg,0.578922629356384,False,40,65,8
schilder,0.484628021717072,False,40,65,8
kruidenier,0.814505040645599,False,40,65,8
monnik,1.23800349235535,False,40,65,8
kluizenaar,1.04358470439911,False,40,65,8
kunstenaar,1.08012962341309,False,40,65,8
internist,1.16897761821747,False,40,65,8
installateur,1.38778948783875,False,40,65,8
neuroloog,2.03175282478333,False,40,65,8
groenteboer,1.10256624221802,False,40,65,8
admiraal,0.626022279262543,False,40,65,8
kapitein,1.35351777076721,False,50,65,8
goochelaar,0.902700424194336,False,50,65,8
clown,0.874858021736145,False,50,65,8
bakker,1.51042485237122,False,50,65,8
slager,0.889226913452148,False,50,65,8
monteur,0.451097160577774,False,50,65,8
dronkaard,1.5839616060257,False,50,65,8
illustrator,1.3207049369812,False,50,65,8
kloosterling,1.18658471107483,False,50,65,8
graficus,1.26735436916351,False,50,65,8
missionaris,1.67273700237274,False,50,65,8
dokter,-0.223791167140007,False,50,65,8
landloper,1.8566187620163,False,50,65,8
chirurg,0.873426735401154,False,50,65,8
schilder,0.00452830828726292,False,50,65,8
kruidenier,1.25043380260468,False,50,65,8
monnik,1.00296807289124,False,50,65,8
kluizenaar,0.563010692596436,False,50,65,8
kunstenaar,1.89317107200623,False,50,65,8
internist,1.89044070243835,False,50,65,8
installateur,1.40895104408264,False,50,65,8
neuroloog,1.93401026725769,False,50,65,8
groenteboer,1.57949423789978,False,50,65,8
admiraal,1.26405620574951,False,50,65,8
missionaris,0.538083612918854,False,23,65,10
landloper,1.42272925376892,False,23,65,10
professor,0.651053845882416,False,23,65,10
ober,0.880861818790436,False,23,65,10
kelner,0.665916323661804,False,23,65,10
installateur,1.3430563211441,False,23,65,10
kluizenaar,1.34772992134094,False,23,65,10
notaris,1.52027404308319,False,23,65,10
kloosterling,1.6554673910141,False,23,65,10
monnik,0.83612734079361,False,23,65,10
serveerster,0.781145334243774,False,23,65,10
elektricien,1.31997299194336,False,23,65,10
loodgieter,1.29687058925629,False,23,65,10
advocaat,0.457764685153961,False,23,65,10
dronkaard,1.07508873939514,False,23,65,10
schrijver,0.9563849568367,False,23,65,10
barman,1.59040510654449,False,23,65,10
raadsman,0.357098668813705,False,23,65,10
procureur,1.53137695789337,False,23,65,10
monteur,1.01478242874146,False,23,65,10
klant,1.47004532814026,False,23,65,10
auteur,1.90739738941193,False,23,65,10
verkoper,1.73292052745819,False,23,65,10
onderzoeker,0.917686879634857,False,23,65,10
missionaris,1.94485926628113,False,40,65,10
landloper,1.43219876289368,False,40,65,10
professor,1.66050386428833,False,40,65,10
ober,1.29992294311523,False,40,65,10
kelner,1.44094431400299,False,40,65,10
installateur,1.90205192565918,False,40,65,10
kluizenaar,1.08189046382904,False,40,65,10
notaris,1.76741695404053,False,40,65,10
kloosterling,1.92268478870392,False,40,65,10
monnik,1.10225224494934,False,40,65,10
serveerster,0.803301870822907,False,40,65,10
elektricien,1.74778246879578,False,40,65,10
loodgieter,0.778943121433258,False,40,65,10
advocaat,0.909967601299286,False,40,65,10
dronkaard,0.576911270618439,False,40,65,10
schrijver,0.790678441524506,False,40,65,10
barman,1.33385765552521,False,40,65,10
raadsman,1.44494128227234,False,40,65,10
procureur,1.40624272823334,False,40,65,10
monteur,1.46458792686462,False,40,65,10
klant,1.0147784948349,False,40,65,10
auteur,2.67941832542419,False,40,65,10
verkoper,1.01460134983063,False,40,65,10
onderzoeker,0.661146640777588,False,40,65,10
missionaris,1.75899314880371,False,50,65,10
landloper,2.10154414176941,False,50,65,10
professor,0.941893219947815,False,50,65,10
ober,0.908256947994232,False,50,65,10
kelner,1.43789124488831,False,50,65,10
installateur,0.529971063137054,False,50,65,10
kluizenaar,1.1728972196579,False,50,65,10
notaris,1.16804778575897,False,50,65,10
kloosterling,0.996130466461182,False,50,65,10
monnik,0.95960009098053,False,50,65,10
serveerster,1.33956575393677,False,50,65,10
elektricien,0.588020443916321,False,50,65,10
loodgieter,1.77678954601288,False,50,65,10
advocaat,0.811016738414764,False,50,65,10
dronkaard,0.751671195030212,False,50,65,10
schrijver,1.09973585605621,False,50,65,10
barman,0.780333399772644,False,50,65,10
raadsman,0.806460916996002,False,50,65,10
procureur,1.8820321559906,False,50,65,10
monteur,2.01601314544678,False,50,65,10
klant,1.44319343566895,False,50,65,10
auteur,2.03052377700806,False,50,65,10
verkoper,1.5879020690918,False,50,65,10
onderzoeker,0.696323931217194,False,50,65,10
kolonel,0.319992631673813,False,23,65,12
barman,1.21575033664703,False,23,65,12
monnik,0.456286877393723,False,23,65,12
missionaris,1.97066819667816,False,23,65,12
graficus,1.08502280712128,False,23,65,12
soldaat,1.16800248622894,False,23,65,12
serveerster,1.71531176567078,False,23,65,12
bakker,1.25584137439728,False,23,65,12
elektricien,1.38603913784027,False,23,65,12
advocaat,1.01594126224518,False,23,65,12
admiraal,1.49715411663055,False,23,65,12
kunstenaar,1.0587249994278,False,23,65,12
loodgieter,1.3737804889679,False,23,65,12
schilder,0.79606968164444,False,23,65,12
denker,1.25388026237488,False,23,65,12
kapitein,0.56048321723938,False,23,65,12
kloosterling,1.7953325510025,False,23,65,12
kluizenaar,0.0699970200657845,False,23,65,12
monteur,1.57148480415344,False,23,65,12
illustrator,1.75055813789368,False,23,65,12
raadsman,1.9077535867691,False,23,65,12
wetenschapper,1.42678689956665,False,23,65,12
installateur,2.26327276229858,False,23,65,12
groenteboer,1.06152606010437,False,23,65,12
kolonel,1.18416035175323,False,40,65,12
barman,1.50004661083221,False,40,65,12
monnik,1.49034225940704,False,40,65,12
missionaris,2.04477286338806,False,40,65,12
graficus,1.63108706474304,False,40,65,12
soldaat,1.38957703113556,False,40,65,12
serveerster,1.64695501327515,False,40,65,12
bakker,1.54851722717285,False,40,65,12
elektricien,1.71509850025177,False,40,65,12
advocaat,1.08955597877502,False,40,65,12
admiraal,0.655652225017548,False,40,65,12
kunstenaar,1.67780864238739,False,40,65,12
loodgieter,0.643866896629334,False,40,65,12
schilder,0.577133774757385,False,40,65,12
denker,0.653326869010925,False,40,65,12
kapitein,0.73328423500061,False,40,65,12
kloosterling,1.39457750320435,False,40,65,12
kluizenaar,1.25837886333466,False,40,65,12
monteur,1.2159378528595,False,40,65,12
illustrator,2.07268285751343,False,40,65,12
raadsman,1.6209203004837,False,40,65,12
wetenschapper,2.5137939453125,False,40,65,12
installateur,0.99583226442337,False,40,65,12
groenteboer,0.394803196191788,False,40,65,12
kolonel,0.930112481117249,False,50,65,12
barman,1.8593602180481,False,50,65,12
monnik,0.835729598999023,False,50,65,12
